Part ,Cost (USD),Link,Vendor
Titanium Blade,38,Quoted - NA,PCBWay
Carbon Fiber Plates,50,Quoted - NA,Alibaba
Malenki-Nano,28,https://shop.bristolbotbuilders.com/product/malenki/,BBB
N10 Motors x2,28,https://shop.bristolbotbuilders.com/product/minispark/,BBB
Silicon for Wheels,9,https://aliexpi.com/bsu,Aliexpress
2207 Weapon Motor,17,https://aliexpi.com/Inw,Aliexpress
5mm Bearing,3,https://aliexpi.com/wng,Aliexpress
M2 Self Tapping Bolt,1,https://aliexpi.com/MTw,Aliexpress
M3 Titanium Bolt,6,https://aliexpi.com/6Ye,Aliexpress
Weapon ESC,12,https://aliexpi.com/D3t,Aliexpress
Steel Sheet,3,https://aliexpi.com/KhC,Aliexpress
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Total,195,,
